comment_text,emotion,fan_type_discovered,cluster
"No one: 
Literally no one: 
Me: EVERYONE LOOKS SO GOOD",neutral,content-focused,2
"""LOOK AT YOU NOW LOOK AT ME""
GOD OK IM UGLY YOUVE PROVEN YOUR POINT..",neutral,visual-focused,1
BLACKPINK IS THE REVOLUTION ❤,neutral,content-focused,3
"The blonde highlights: 

Mark, Jisung, Yangyang, Jennie: it's free real estate",neutral,content-focused,3
"Kill this love: look at me look at you
How you like that: look at you now look at me",neutral,visual-focused,1
Who's ready for 300M views in 2 weeks??,neutral,content-focused,3
BLACKPINK PAVED THE WAY,neutral,content-focused,3
Everyone please be strong for just 24 hours.  After this we rest okay.,neutral,content-focused,3
"I recently started listening to K-Pop a lot more last year, the reason I didn’t listen to it before was because I didn’t know much about it, it wasn’t until one of my friends showed me this song and instantly fell in love BLACKPINK are one of the groups that made me love the genre just the swagger they had the presence they bought and everything, ever since then I’ve been listening to a lot more groups lately I know there’s a lot more out there that I still need listen to but honestly BLACKPINK are one of my favorites LISA is my Queen I love her🖤💖",neutral,content-focused,3
"No one:
Not even yg:

Me: almost *three hours later* almost",neutral,content-focused,2
Blackpink in you area I LOVE THISSSSSSSSSSSS NOSTALGIC❤,neutral,content-focused,3
Si una alguna vez te sientes estúpido recuerda que hay 1.2M de personas que no les gusta está obra de arte,neutral,content-focused,3
This is 100% Jenlisa’s response to all their haters. Look at you now look at me.,neutral,visual-focused,1
"Bts and Blackpink release their mv 1 minute apart

Me: Stans both group = dead",neutral,content-focused,3
still one of blackpink's biggest comeback,neutral,content-focused,3
my jisoo improved so much,neutral,content-focused,3
"me rn;
Left eye: how you like that mv
Right eye: Stay gold mv",neutral,song-reference-focused,0
Random Fact: you’re probably sitting here waiting for them to release it,neutral,content-focused,3
LETTSSS JUMPPP,neutral,content-focused,3
"Kill this love: *Look at me, look at you*
How you like that: *Look at you, now look at me*",neutral,visual-focused,1
I WASN’T  MENTALLY PREPARED FOR THIS AT ALL.,neutral,content-focused,3
"Kill This Love: "" LOOK AT ME LOOK AT YOU""
How You Like That: ""NOW LOOK AT YOU NOW LOOK AT ME""",neutral,visual-focused,1
This era is something else 😊❤,neutral,content-focused,3
"POV: Your searching for a comment that doesn’t talk about people 
wanting likes.

(Edit: Its the same on “BTS - Stay gold mv”)
Honestly all these anti’s are getting on my nerves 😤
Nevermind just let the antis comment what they want, atleast it gives  Blackpink and BTS higher chances of having the most comments on a yt m/v.",neutral,content-focused,3
1:41 people weren’t wrong when they say Jennie literally is Chanel.,neutral,content-focused,3
"Youtube: 6 minutes left
Me: WHY IS TIMEE SO SLOWWW",neutral,content-focused,3
literally the best,neutral,content-focused,3
DEMOSTREMOS QUE BLACKPINK NO SON UNA DISTRACCIÓN SINO UNA INSPIRACIÓN!!,neutral,content-focused,3
"everyone in the comments: i'm here before the premier
me: wtf is that purple thing in the back",neutral,content-focused,3
"¿Hay BLINKS de Latinoamérica en los comentarios de este vídeo? Vamos por los 900M y luego al 1B ✧\(>o<)ﾉ✧

Edit: OIGAN! ME FUI 2 DÍAS Y YA 1K DE LIKES, ME SIENTO FAMOSO ;;---;;; 
SIGAMOS CON VER EL VÍDEO DE MANERA CORRECTA Y NO COMENTEN EMOJIS O 5P4M :)",neutral,content-focused,3
"So much nostalgia, Welcome back BLACKPINK",nostalgic,content-focused,3
"Blinks estamos perdiendo en todas las votaciones, se que no es obligatorio votar pero hagámoslo por las chicas, y hagamos str3am es muy importante!!
Blinks si podemos.",neutral,content-focused,3
I can still remember waiting this to release last 4years😭 times so fast,nostalgic,content-focused,3
"2:11 When chaeng said ""The day I fall without my wings"" she ain't lyin' bruh.",neutral,content-focused,3
ugh what a masterpiece of an MV,neutral,content-focused,3
"Everyone: already finished the mv in one go

While me with my potato wifi: =_=",neutral,content-focused,3
"Assim como estou ansioso pelo Solo da LISA ,
estou pelo 1B que está cada vez mais próx '.",neutral,content-focused,3
"TODOS LOS BLINKS QUE AHORITA ESTAN HACIENDO STR3AM, GRACIAS uwu Gracias por siempre estar X2",neutral,content-focused,3
Welcome  back  blackpink ❤❤,neutral,content-focused,3
Podriamos hacer este quinto Billón para su aniversario ? Que esperamos? Vamos Blinks,neutral,content-focused,3
1B COMING SOON,neutral,content-focused,3
The first parts of the mv gave me bigbang's Bae Bae vibes,neutral,content-focused,3
BLACKPINK THE QUEENS YOU ALL ARE,neutral,content-focused,3
Omg it's official. This is Jisoo's era,neutral,content-focused,3
"VLive Blink: OH MY GOD YES QUEENS

YouTube Blink: 
“No one:
Literally no one:”",neutral,content-focused,2
Lleguemos mis blinks lleguemos a ese billon y el dance practice también FIRMES Y DIGNOS,neutral,content-focused,3
J'adore  How You Like That'   BLACKPINK,neutral,song-reference-focused,0
2:51 The best backup dancers post ever 😂,neutral,content-focused,3
"New fans of kpop: Hana, dul, set
Blinks: Y A D O M",neutral,content-focused,3
"JenLisa attacked me personally by saying ""look at you, now look at me"" I-",neutral,visual-focused,1
"Look up in the sky its a bird, its a plane. That is my favourite line❤❤❤",neutral,content-focused,3
"No one:

Literally no one:

The comments:
“No one” “literally no one”",neutral,content-focused,2
Jisoo is in relationship with fire rain,neutral,content-focused,3
"More & More, Butterfly, Hug U, and How You Like That are sitting at the same table.",neutral,song-reference-focused,0
Look at these SETSSSSS!!!,neutral,visual-focused,1
"2:33
Jennie: *""Bring out the boss bish""*
Me: Did i hear that correctly?
Also me: Ooooooooh they've upgraded words",neutral,content-focused,3
Thought Jisoo would say the “Blackpink in your area” now I’m kind of disappointed but keep streaming blinks,neutral,content-focused,3
BLACKPINK MIS REINAS HERMOSAS YA FALTA POCO PARA SU REGRESO LAS AMOOOOO,neutral,content-focused,3
I love this song,neutral,content-focused,3
"me: Blink
my sister: Army
""How you like that"" & ""Stay Gold"" remix at home",neutral,song-reference-focused,0
"School attendance 20%
College attendance 30%
BLACKPINK attendance 100%",neutral,content-focused,3
lisa rhee after 5 minutes: *released a hylt dance cover*,neutral,content-focused,3
Look at me look at you... OnFIRE 🔥🔥,neutral,visual-focused,1
I can’t believe this is actually happening,neutral,content-focused,3
"Blackpink: slaying
Blinks: streaming 
YouTube: let's freeze the views",neutral,content-focused,3
"Nobody:
Absolutely no one:
Not even YG:
Lisa:LoOk At YoU lOoK aT mE

Edit:thanks for the likes blinks❤💓",neutral,visual-focused,1
this song never get old❤,neutral,content-focused,3
"No one: 
Blackpink: lets get likes and comments before the mv",neutral,content-focused,2
Cuantas veces escucharon esta canción el día de hoy ? Ayuden al str3am,neutral,content-focused,3
"""Look up in the sky its a bird its a plane""

Nah, that's my wig",neutral,content-focused,3
"Here after their comeback 🖤💖""JUMP""🖤💖",neutral,content-focused,3
"No one:
No one:
Blinks:
LET'S EXPLODE COMMENTS",neutral,content-focused,2
"IM GONNA THROW HANDS IF YALL KEEP COMMENTING LIKE THAT

edit note: if you have nothing nice to say, keep your opinion to yourself :) aha",neutral,content-focused,3
"""look at you""
me looks in the mirror: damn, a potato head-
""now look at me""
me looks at them: *hold my hair, hold my body, hold my money, hold my soul queens*",neutral,visual-focused,1
The iconic oreo hair of JENNIE is STUNNIG.,neutral,content-focused,3
"no one:
literally no one:

me:expecting jisoo will say ""blackpink in your area""",neutral,content-focused,2
*BLINKs do mundo inteiro vamos atras do 1 Bilhao*,neutral,content-focused,3
"BLACKPINK: Ha how you like that?

1M: *Disliked this MV is because felt triggered with that response*",neutral,song-reference-focused,0
Best song of the year,neutral,content-focused,3
"""I'll kiss you goodbye""

Nooooo.",neutral,content-focused,3
0:29 okay but can we appreciate how “How you like that” Rose just crushed “Kill this love” rose crying with a four-leaf??,touching,song-reference-focused,0
"Can y'all stop stop the ""no one"" comments like -
Eye-",neutral,content-focused,2
Oh they went HARD!! 💘,neutral,content-focused,3
"How you like that?

Jennie: How you like my hairstyles?",neutral,song-reference-focused,0
"*mv* *releases*


me: crawling out of my coffin after waiting for a comeback",neutral,content-focused,3
"R3c0meback COLOMBIA PRESENTE
Vamos blinks",neutral,content-focused,3
2025년에는 누가 있을까요? 👋🏻이거 다시 한번 상기시켜 드리고 싶네요.. 걸작이죠..,neutral,content-focused,3
"no one:
literally no one:
meanwhile yt: freezing views
Edit: thank u for the likes!! :""))
STREAM LOVESICK GIRLS <333",neutral,content-focused,2
"Bp: look at you, now look at me

Me: shook in spanish",neutral,visual-focused,1
Anyone else looking through the comments and thinking: ‘I wish I said that’,neutral,content-focused,3
THEY ARE BACK!,neutral,content-focused,3
"Esto va muy lento, qué pasa Blinks?*suspiro*no pasa  nada sigamos reproduciendo",neutral,content-focused,3
"no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ”",neutral,content-focused,2
This new era is gonna be 🔥,neutral,content-focused,3
"the entire comments section:
""no one""
""literally no one""",neutral,content-focused,2
"me checking comments: 58s = 4.1k



me: quickly trying to comment as fast asf",neutral,content-focused,3
"No one 

Literally no one 


YouTube: “let’s freeze the v13ws!”",neutral,content-focused,2
I watched this song 100 times but still love it ❤❤❤❤❤❤❤❤❤❤❤❤❤,neutral,content-focused,3
WHY IS EVERYONE COMMENTING THE SAME THING I'M   L O S T,neutral,content-focused,3
Everyone literally everyone: No one..,neutral,content-focused,2
Why there’s so many comments like: “no one:  literally no one:   “ ????,neutral,content-focused,2
"Blackpink: Lets see how many vi3ws we could make in an hour.
Youtube: Hold my vi3w fr33zing !!",neutral,content-focused,3
"When jennie say: 
Bring out your boss bit*ch

Me: *heart attack*
Blinks: **DRAG ALL THE HATERS**",neutral,content-focused,3
i pray a random person who likes this will be a billionare,neutral,content-focused,3
BLACKPINK IN YOUR AREA will be forever iconic ❤,neutral,content-focused,3
jisoo: I'm Zuko,neutral,content-focused,3
BLARMYs: SCREAMING BECAUSE THEY CAN'T BREAK THEIR SCREENS IN HALF,neutral,content-focused,3
"Nobody:
Jennie:- bring out the pop bit-ch",neutral,content-focused,3
Who is watching this legend song in 2025,neutral,content-focused,3
why do people keep commenting the same thing? “Everyone: comments and gets a hundred of likes “,neutral,content-focused,3
"damn, all this “No one” comments are giving me anxiety.
Edit: ANYWAYS LET’S NOT STOP STRE-AMING BLINKS! AND PLEASE REPORT THESE COMMENTS GUYS! FOR Y’ALL HATERS. HOW ABOUT YOU FOCUS ON YOUR GROUPS? Stop pestering us! Report those mf cuz’ THEY FREEZE THE VIEWS. AND PLEASE NO EMOJIS! LET’S STRE@M PROPERLY. NO FASTFORWARD. LOVE Y’ALL",neutral,content-focused,3
"Nobody: 
Me and other people:
_comments before premiere_",neutral,content-focused,3
I will never get tired of listening to this,neutral,content-focused,3
"No one:
Literally no one:
me after watching it nonstop:
look at you now look at meeeeeee",neutral,visual-focused,1
"me: in a family gathering 
them: why are you crying??",touching,content-focused,3
"I bet LISA is the one who gonna say “BLACKPINK IN YOUR ARE” in this Song, mark my comment",neutral,content-focused,3
Slay blackpink y’all got me into K-pop now at school everyone refers to me as the K-POP OBSESSED GURL and I even taught most people including boys to listen and dance to K-pop lol 😅😅❤❤❤❤ LOVE U BLACKPINK 😘😘,neutral,content-focused,3
Blackpink is back everyone!,neutral,content-focused,3
"nobody:
me at 5 am at the top of my lungs: LOOK AT YOU NOW LOOK AT ME",neutral,visual-focused,1
me: *confused about lisa's hair*,neutral,content-focused,3
But- Okay I’m dead adiós everyone. **^**,neutral,content-focused,3
"BP: look at you now look at me
Me: i felt offended",neutral,visual-focused,1
This hit is unforgettable 🔥,neutral,content-focused,3
"ROSÉ: * shows her little finger then wear a mask*

Me: HOLD UP, did she just- welp, ready to get robbed BLINKS",neutral,content-focused,3
"nobody:
blinks: *str3aming
yt: oh damn, lemme freeze the vi3w$",neutral,content-focused,3
"Jenlisa: look at you now look at me
Me ashamed: I know im ugly damn",neutral,visual-focused,1
It was too perfect,neutral,content-focused,3
when is this 'no one:' thing going from the comment section ? I am tired of seeing it in literally every video,neutral,content-focused,2
"every one: 
literally everyone: nO OnE litErAllY nO One",neutral,content-focused,2
"blinks: ""I hope youtube doesn't freeze vie-""
youtube: *evil cackle*",inspiring,content-focused,3
Miss this era of blackpink 😢,nostalgic,content-focused,3
"'Look up in the sky 
It's a bird it's a plane' no it's actually my wig flying",neutral,content-focused,3
"I AM SO TIRED OF REPORTING THE ACCOUNTS WHO SAY, No One: Literally no one.
HATERS JUST GET OUT OF HERE.",neutral,content-focused,2
Eu so esperqva que nesse clipe a Jisoo falasse o começo onde a Lisa falou poxa YG nossa todas ja disseram isso menos a Jisoo,neutral,content-focused,3
This song is LEGENDARY.,neutral,content-focused,3
"""Look up in the sky it's a bird its a plane. """,neutral,content-focused,3
"No one:

Me singing in front of my mirror : look at you now look at me~",neutral,visual-focused,1
"90% comments: no one, literally nobody 
10% comments: other",neutral,content-focused,2
"omggg, came back here after listening to Jump and HYLT literally gave me goosebumps 🥹",neutral,content-focused,3
"no one :
Literally no one:
Lisa : look at you look at me
me: i know im an ugly and fat potato dont attacc me",neutral,visual-focused,1
literally some blinks:  watches over and over on other devices.,neutral,content-focused,3
"no one: ha-
filipinos: hakdog
blackpink: how you like that?",neutral,song-reference-focused,0
Hearing blackpink in your area again made me soooo nostalgic,neutral,content-focused,3
"*flashbacks to yt rewind 2020 comment section*

Also, what's happening?",neutral,content-focused,3
LA BELLEZA DE JENNIE NO ES UNA BROMA,neutral,content-focused,3
"No one:


Literally no one: 


Not even yg from his jail cell:


The comment section: Look at you now look at me",neutral,visual-focused,1
four girls are perfect pieces for each other,neutral,content-focused,3
Yg goal 50M views in 24 hours. Blinks no we want more. Blinks told haters that we are not biggest fandom but we are most powerful fandom 85 M views,neutral,content-focused,3
Y’all stop it with the “no one; literally no one” comments,neutral,content-focused,2
"Blackpink: ""How you like that""
Me literally seeing the comments section: what the hell man I don't like that.",neutral,song-reference-focused,0
I will support blackpink forever,neutral,content-focused,3
"LISA 2019 : Here lm kicing the door
LISA 2020: HOW YOU LIKE THAT",neutral,song-reference-focused,0
"""black pink in your area"" it's lisaaaaa",neutral,content-focused,3
"no one:
literally no one:
me at 5 am: *DDODOONGDDORUROO-*",neutral,content-focused,2
This is the best black pink song ever❤❤❤🔥🔥🔥,neutral,content-focused,3
"Me in comments: why tf everyone is like ""no one literally no one""
edit: Why tf everyone is saying same thing in comments tf
They got virus or wat it is annoying stop
Edit: why it says 6.1m views but when u tap it is 457k views",neutral,content-focused,2
"After seeing mv me- omg i cant breath after seeing this
My mom- wait u cant breath i am sure u got corona lemme take u to hospatail",neutral,content-focused,3
"Literally Everyone:
""Nobody :
Literally no one :
Someone: ...""",neutral,content-focused,2
It all started with this spoon and now I'm a blink🎉🎉🎉🎉🎉🎉🎉,neutral,content-focused,3
"My last brain cell at 2 pm


“Ha how you like that” :/",neutral,song-reference-focused,0
"Me and my boyfriend after a breakup : 

“Look at you now look at me”",neutral,visual-focused,1
Dancers must be on overtime today in order to post dance cover early tomorrow,neutral,content-focused,3
this is the biggest comeback in history 🤯❤️‍🔥❤️‍🔥❤️‍🔥,neutral,content-focused,3
I have reported some of these ‘no one’ comments as ‘spam’ they serve no purpose or meaning! And annoying AF. Blink let’s report these spammers! YouTube might delete all of them at once!!,neutral,content-focused,3
"me in their yt live: ""the subtitle person better type FASTTT""

YG (blackpink): ""yea we're not doing that""",neutral,content-focused,3
We still have 2 hours we can get 100 if we try hard,neutral,content-focused,3
this was so iconic its insane,neutral,content-focused,3
"Nobody:
Youtube: lets freeze the views",neutral,content-focused,3
"no crean en lo que se dice en los comentarios, NO BORREN EL HISTORIAL",neutral,content-focused,3
"No one: 

Me: ""loOk aT yoU nOw lOok At mE""",neutral,visual-focused,1
Blackpink is the best kpop group,neutral,content-focused,3
"Guys the statue of genesha in Lisa rap 
Has been edited out at 1:20",neutral,content-focused,3
"no one:
literally no one:
me after watching: HA- HOW U LIKE DAAT",neutral,content-focused,2
"Me having a bad day:

Jennie: *look at you now look at me*
Me: ...",neutral,visual-focused,1
"no one:
literally no one:
the comments: “no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ””",neutral,content-focused,2
"All these ppl:(comment same)
Me: BP run the game in high hillls!......BP in your area!
BP: du ddu du ddu(slaps talent 1:50)",neutral,content-focused,3
"Literally no one :

Ppl in the comment sec :

 ""no one: """,neutral,content-focused,2
Jamás me cansaré de esta obra de arte 😫🩷,neutral,content-focused,3
Jennie: Look at you now look at me.,neutral,visual-focused,1
"Blackpink: look at you now look at me.
Me: Died.",neutral,visual-focused,1
"Bp: How you like that?
Blinks: We loved that 
Thanks for coming back unnies",neutral,song-reference-focused,0
BLACKPINK literally slayedddd My queensss 🖤💗,neutral,content-focused,3
i can't stand straightly. i want u guys to see everytime on the screen,neutral,content-focused,3
"2:45 : 
DumdumdumDuruRum DumdumdumDuruRum  DumdumdumDuruRum DumdumdumDuruRum DumdumdumDuruRum",neutral,content-focused,3
"""It's a bird it's a plane""

Us after *quarantine* .",neutral,content-focused,3
Blackpink is that diva ❤💋,neutral,content-focused,3
"Producers: So how many back up dancers do you want?

BP: yes",neutral,content-focused,3
"No one:

Literally no one:

The comments:
""No one"" ""Literally no one""",neutral,content-focused,2
can ppl stop saying “no one” “literally no one?”,neutral,content-focused,2
Who's happy that our queens are back,neutral,content-focused,3
"No one :
Absolutely no one:
Everyone in the comments: loOk aT mE LoOk aT yOU",neutral,visual-focused,1
NEW TARGET 85M. LEZGO BLINKS!! We still have 1hr and 15mins left. LEZGO!!!,neutral,content-focused,3
"friend: if you an artist and appear in this mv, who would you be?
me: probably the donkey",neutral,content-focused,3
Can't believe it's been 5 years to this ART,neutral,content-focused,3
"nobody:
not even my cats poop:
me: dancing and singing on the floor like a total idiot  
i lovcee you QUEEN
I ALREADY REMOVE THE EMOJI..",neutral,content-focused,3
"no one:
literally no one:
comments:
 nobody: 
not even:",neutral,content-focused,2
"pq les cuesta tanto hacer str34mn? NECESITAMOS LLEGAR AL BILLÓN, MUEVANSEEEEEEE",neutral,content-focused,3
this comeback save me from pandemic,neutral,content-focused,3
"Me: There she is .... my angelsé.
Rosé: who said I was an angel. 
She just killed me and that ski mask oh god",neutral,content-focused,3
Why are the comments like “no one:”,neutral,content-focused,2
"Nobody:
Not even me:
My mum : comes into my room while i listen to the song the first time and shows me a new pair of socks that she bought for me",neutral,content-focused,3
NOW WE ARE READY FOR JUMP 😍,neutral,content-focused,3
"Most of the comment:
“NOBODY”
“Literally No One”
“Delete emoji”",neutral,content-focused,2
"JENNIE: LOOK AT YOU NOW LOOK AT ME

Me:
The ghost beside me:
The spider at home:",neutral,visual-focused,1
"""Look up the sky, It's a bird, It's a plane""

Me being dumb who actually thought there's an airplane and a bird: *where?!*",neutral,content-focused,3
love this masterpiece that's why i kept on coming back,neutral,content-focused,3
"BLACKPINK:. ""NOW LOOK AT YOU, NOW LOOK AT ME""
Me: * Checks myself in the mirror *",neutral,visual-focused,1
just a normal comment coming thru,neutral,content-focused,3
don’t look at the fact that there’s 1mil dislikes look at how there’s 19mil likes,neutral,visual-focused,1
"After 5 years, this song is still golden ❤",neutral,content-focused,3
ME STILL THINKING ABOUT WHY YG MV HAVE A TRIANGLE •_•,neutral,content-focused,3
"No one:
Literally no one:

YouTube: oh, lemme freeze this. Ha ha how you like that?",neutral,content-focused,2
"كمت ابجي بسبب فخامه الاغنيه احبكم يا كوينز الامه
I love you blackpink my queens
edit:thanks for 100 like 
تعديل:شكرا ؏ 100 لايك",neutral,content-focused,3
The song is crazy and Black Pink is crazy🖤💗😭,neutral,content-focused,3
"*If you're Filipino, you'll know all the memes circulating about Jennie's pose.* *lol*",neutral,content-focused,3
"me: nowadays I studied Korean a lot. I'll understand every single thing in this song

me: one two three? at 00:40",neutral,content-focused,3
"1:04 Lisa's silver front tooth looks coooool!!! 
Wow! Going 170M!! 
How y'all like that!",neutral,song-reference-focused,0
This brings back so many memories. My daughters love this song. They used to sing and dance to this song.,neutral,content-focused,3
"Blackpink be like: how you like that? 


Me: yes I really like that!!",neutral,song-reference-focused,0
