comment_text,emotion,fan_type
Guys let’s break the record juice ayo.  Edit: OMG WE DID IT WE DID IT WE DID IT,neutral,general-praise
"BLINKS, VAMOS!!!!
VAMOS MOSTRAR AOS ANTIS QUEM É O MAIOR GG DO KPOP!!!!
1B EM HYLT E 2B EM D4!!!",neutral,general-praise
"BLACKPINK IN YOUR AREA, a slogan that will never be forgotten❤.",neutral,general-praise
"Finally PUBGM X Blackpink 
Now enjoy in lobby!!!!!",neutral,general-praise
"We broke the last record AHHH already have 79 million, congratulations blink
Edit: we should broke the new record, go go go blink",neutral,general-praise
"""Yesterday is a History""
""Tomorrow is a Mystery""
""Today is a Gift thats why we call it as Present'
Let's Make HYLT 1.B BEFORE 1st Year Anniversary!!!!
BLACKPINK IS THE REVOLUTION!",neutral,content-focused
''blackpink in your area'' will always forever be in my heart,neutral,general-praise
"Me: _sees an ad_ *don't skip, don't skip!!*",neutral,general-praise
"Lisa  : Look at Me
Me : Yes im looking at you my queen",neutral,visual-focused
Se mueven más las vistas del dance practice que el M/V,neutral,content-focused
Love Blackpink❤,neutral,general-praise
BLINKS SOLO AUMENTAMOS 2 MILLONES QUE PASOOOOO SIGAMOS HACIEMDO STR34M,neutral,general-praise
""" *BA DA BING BA DA BOOM BOOM BOOM* ""
- Blackpink, June 26th 2020",neutral,general-praise
"No one:
Literally no one:
Not even Lisa's bangs:

Blink's : BaDaMinG BaDabONg boOm BoOm",neutral,general-praise
MY QUEENS!!! NO ONE CAN COME CLOSE TO BLACKPINKKKKKK,neutral,general-praise
"VAMOS BLINKS NOSOTR@S PODEMOS NO SEAMOS “BLONKS” LAS CHICAS SE LO MERECEN VAMOS A TENER CINCO MV CON MÁS DE UN BILLÓN!! VAMOS NOSOTROS PODEMOS POR QUE AMAMOS A LAS CHICAS NO SEAMOS UN FANDOM FALSO QUE NO APOYA,APOYEMOS A NUESTRAS REINAS!,",neutral,general-praise
"vamos blinks que esperan, avisen a las demás blinks, que no estan enteradas, sigamos avanzando",neutral,general-praise
"BLINKS ÚLTIMAMENTE EH ESTADO VIENDO MUCHOS COMENTARIOS EN ESPAÑOL, LATINOAMÉRICA ARRASANDO<3",neutral,general-praise
This was the first song i heard from.Blackpink... still is legendary,neutral,content-focused
BLACKPINK grabs another record as 'How You Like That' becomes the fastest Kpop Girl Group MV to hit 900M views on youtube.,neutral,general-praise
"FALTA MUY POCO PARA EL 1B, VAMOS BLINKS, POR LAS CHICAS, BLACKPINK IS REVOLUTION
BLACKPINK IN YOUR AREA !!",neutral,general-praise
"""look at you now look at me""

Blackpink you don't need make us feel more potato than we already are!!!",neutral,visual-focused
"This is so nostalgic🥺💖

Old is diamond💎🎀......",neutral,general-praise
"Words cannot describe how much I like this song, it's a pity that songs are no longer released 🥹",neutral,content-focused
"Encerio, pongan empeño realmente tenemos que llegar al Billón no perdamos las esperanzas, y si no completamos al menos lo intentamos",neutral,general-praise
We’ve almost hit 50M in 10 hours blinks! This is an amazing achievement - BE PROUD,neutral,general-praise
I'm in love with this mv so much.. so I came back to watch it again!,neutral,general-praise
"1st listhen: okay....
2nd listen: badabing badabing
3rd listen: LOOK AT YOU NOW LOOK AT ME",neutral,visual-focused
"1 second of the video plays:
me: ISSA BOP",neutral,general-praise
"director: ""how many umbrellas?""
jennie: ""yes""",neutral,general-praise
Are we not gonna ignore the Visuals? Amazing.,neutral,visual-focused
"《BLINK'S HACIENDO STR3AM PARA EL BILLÓN 》
AQUÍ 《INSERTE LIKE》",neutral,general-praise
"*""LOOK AT YOU, NOW LOOK AT ME""* 
ME: JUST LOOKING AT THEM AT AWE",neutral,visual-focused
"My bestfriend and I after quarantine

""LoOk aT MeE NoW LoOk At YoUu""",neutral,visual-focused
I love you blakpink ❤❤❤,neutral,general-praise
"""HOW YOU LIKE THAT""
""NA DEUL SSET""

I LIKE PART",neutral,general-praise
"Hay que hacerlo por las chicas, para que estén felices y tengan su 5° MV con un billón antes de su aniversario.",neutral,general-praise
ROSE ! “ITS A BIRD... ITS A PLANE” ICONIC.,neutral,general-praise
Blackpink gonna kick off their deadline world tour this month !!! 🔥,neutral,content-focused
HOW YOU LİKE THAT,neutral,general-praise
"No one: 
Literally no one: 
Me: EVERYONE LOOKS SO GOOD",neutral,visual-focused
"""LOOK AT YOU NOW LOOK AT ME""
GOD OK IM UGLY YOUVE PROVEN YOUR POINT..",neutral,visual-focused
BLACKPINK IS THE REVOLUTION ❤,neutral,general-praise
"The blonde highlights: 

Mark, Jisung, Yangyang, Jennie: it's free real estate",neutral,general-praise
"Kill this love: look at me look at you
How you like that: look at you now look at me",neutral,visual-focused
Who's ready for 300M views in 2 weeks??,neutral,general-praise
BLACKPINK PAVED THE WAY,neutral,general-praise
Everyone please be strong for just 24 hours.  After this we rest okay.,neutral,general-praise
"I recently started listening to K-Pop a lot more last year, the reason I didn’t listen to it before was because I didn’t know much about it, it wasn’t until one of my friends showed me this song and instantly fell in love BLACKPINK are one of the groups that made me love the genre just the swagger they had the presence they bought and everything, ever since then I’ve been listening to a lot more groups lately I know there’s a lot more out there that I still need listen to but honestly BLACKPINK are one of my favorites LISA is my Queen I love her🖤💖",neutral,content-focused
"No one:
Not even yg:

Me: almost *three hours later* almost",neutral,general-praise
Blackpink in you area I LOVE THISSSSSSSSSSSS NOSTALGIC❤,neutral,general-praise
Si una alguna vez te sientes estúpido recuerda que hay 1.2M de personas que no les gusta está obra de arte,neutral,general-praise
This is 100% Jenlisa’s response to all their haters. Look at you now look at me.,neutral,visual-focused
"Bts and Blackpink release their mv 1 minute apart

Me: Stans both group = dead",neutral,general-praise
still one of blackpink's biggest comeback,neutral,general-praise
my jisoo improved so much,neutral,general-praise
"me rn;
Left eye: how you like that mv
Right eye: Stay gold mv",neutral,general-praise
Random Fact: you’re probably sitting here waiting for them to release it,neutral,general-praise
LETTSSS JUMPPP,neutral,general-praise
"Kill this love: *Look at me, look at you*
How you like that: *Look at you, now look at me*",neutral,visual-focused
I WASN’T  MENTALLY PREPARED FOR THIS AT ALL.,neutral,general-praise
"Kill This Love: "" LOOK AT ME LOOK AT YOU""
How You Like That: ""NOW LOOK AT YOU NOW LOOK AT ME""",neutral,visual-focused
This era is something else 😊❤,neutral,general-praise
"POV: Your searching for a comment that doesn’t talk about people 
wanting likes.

(Edit: Its the same on “BTS - Stay gold mv”)
Honestly all these anti’s are getting on my nerves 😤
Nevermind just let the antis comment what they want, atleast it gives  Blackpink and BTS higher chances of having the most comments on a yt m/v.",neutral,general-praise
1:41 people weren’t wrong when they say Jennie literally is Chanel.,neutral,general-praise
"Youtube: 6 minutes left
Me: WHY IS TIMEE SO SLOWWW",neutral,general-praise
literally the best,neutral,general-praise
DEMOSTREMOS QUE BLACKPINK NO SON UNA DISTRACCIÓN SINO UNA INSPIRACIÓN!!,neutral,general-praise
"everyone in the comments: i'm here before the premier
me: wtf is that purple thing in the back",neutral,general-praise
"¿Hay BLINKS de Latinoamérica en los comentarios de este vídeo? Vamos por los 900M y luego al 1B ✧\(>o<)ﾉ✧

Edit: OIGAN! ME FUI 2 DÍAS Y YA 1K DE LIKES, ME SIENTO FAMOSO ;;---;;; 
SIGAMOS CON VER EL VÍDEO DE MANERA CORRECTA Y NO COMENTEN EMOJIS O 5P4M :)",neutral,general-praise
"So much nostalgia, Welcome back BLACKPINK",nostalgic,general-praise
"Blinks estamos perdiendo en todas las votaciones, se que no es obligatorio votar pero hagámoslo por las chicas, y hagamos str3am es muy importante!!
Blinks si podemos.",neutral,general-praise
I can still remember waiting this to release last 4years😭 times so fast,nostalgic,general-praise
"2:11 When chaeng said ""The day I fall without my wings"" she ain't lyin' bruh.",neutral,general-praise
ugh what a masterpiece of an MV,neutral,general-praise
"Everyone: already finished the mv in one go

While me with my potato wifi: =_=",neutral,general-praise
"Assim como estou ansioso pelo Solo da LISA ,
estou pelo 1B que está cada vez mais próx '.",neutral,general-praise
"TODOS LOS BLINKS QUE AHORITA ESTAN HACIENDO STR3AM, GRACIAS uwu Gracias por siempre estar X2",neutral,general-praise
Welcome  back  blackpink ❤❤,neutral,general-praise
Podriamos hacer este quinto Billón para su aniversario ? Que esperamos? Vamos Blinks,neutral,general-praise
1B COMING SOON,neutral,general-praise
The first parts of the mv gave me bigbang's Bae Bae vibes,neutral,general-praise
BLACKPINK THE QUEENS YOU ALL ARE,neutral,general-praise
Omg it's official. This is Jisoo's era,neutral,general-praise
"VLive Blink: OH MY GOD YES QUEENS

YouTube Blink: 
“No one:
Literally no one:”",neutral,general-praise
Lleguemos mis blinks lleguemos a ese billon y el dance practice también FIRMES Y DIGNOS,neutral,content-focused
J'adore  How You Like That'   BLACKPINK,neutral,general-praise
2:51 The best backup dancers post ever 😂,neutral,content-focused
"New fans of kpop: Hana, dul, set
Blinks: Y A D O M",neutral,general-praise
"JenLisa attacked me personally by saying ""look at you, now look at me"" I-",neutral,visual-focused
"Look up in the sky its a bird, its a plane. That is my favourite line❤❤❤",neutral,visual-focused
"No one:

Literally no one:

The comments:
“No one” “literally no one”",neutral,general-praise
Jisoo is in relationship with fire rain,neutral,general-praise
"More & More, Butterfly, Hug U, and How You Like That are sitting at the same table.",neutral,general-praise
Look at these SETSSSSS!!!,neutral,visual-focused
"2:33
Jennie: *""Bring out the boss bish""*
Me: Did i hear that correctly?
Also me: Ooooooooh they've upgraded words",neutral,content-focused
Thought Jisoo would say the “Blackpink in your area” now I’m kind of disappointed but keep streaming blinks,neutral,general-praise
BLACKPINK MIS REINAS HERMOSAS YA FALTA POCO PARA SU REGRESO LAS AMOOOOO,neutral,general-praise
I love this song,neutral,content-focused
"me: Blink
my sister: Army
""How you like that"" & ""Stay Gold"" remix at home",neutral,general-praise
"School attendance 20%
College attendance 30%
BLACKPINK attendance 100%",neutral,content-focused
lisa rhee after 5 minutes: *released a hylt dance cover*,neutral,content-focused
Look at me look at you... OnFIRE 🔥🔥,neutral,visual-focused
I can’t believe this is actually happening,neutral,general-praise
"Blackpink: slaying
Blinks: streaming 
YouTube: let's freeze the views",neutral,general-praise
"Nobody:
Absolutely no one:
Not even YG:
Lisa:LoOk At YoU lOoK aT mE

Edit:thanks for the likes blinks❤💓",neutral,visual-focused
this song never get old❤,neutral,content-focused
"No one: 
Blackpink: lets get likes and comments before the mv",neutral,general-praise
Cuantas veces escucharon esta canción el día de hoy ? Ayuden al str3am,neutral,general-praise
"""Look up in the sky its a bird its a plane""

Nah, that's my wig",neutral,visual-focused
"Here after their comeback 🖤💖""JUMP""🖤💖",neutral,general-praise
"No one:
No one:
Blinks:
LET'S EXPLODE COMMENTS",neutral,general-praise
"IM GONNA THROW HANDS IF YALL KEEP COMMENTING LIKE THAT

edit note: if you have nothing nice to say, keep your opinion to yourself :) aha",neutral,general-praise
"""look at you""
me looks in the mirror: damn, a potato head-
""now look at me""
me looks at them: *hold my hair, hold my body, hold my money, hold my soul queens*",neutral,visual-focused
The iconic oreo hair of JENNIE is STUNNIG.,neutral,visual-focused
"no one:
literally no one:

me:expecting jisoo will say ""blackpink in your area""",neutral,general-praise
*BLINKs do mundo inteiro vamos atras do 1 Bilhao*,neutral,general-praise
"BLACKPINK: Ha how you like that?

1M: *Disliked this MV is because felt triggered with that response*",neutral,general-praise
Best song of the year,neutral,content-focused
"""I'll kiss you goodbye""

Nooooo.",neutral,general-praise
0:29 okay but can we appreciate how “How you like that” Rose just crushed “Kill this love” rose crying with a four-leaf??,touching,general-praise
"Can y'all stop stop the ""no one"" comments like -
Eye-",neutral,general-praise
Oh they went HARD!! 💘,neutral,general-praise
"How you like that?

Jennie: How you like my hairstyles?",neutral,visual-focused
"*mv* *releases*


me: crawling out of my coffin after waiting for a comeback",neutral,general-praise
"R3c0meback COLOMBIA PRESENTE
Vamos blinks",neutral,general-praise
2025년에는 누가 있을까요? 👋🏻이거 다시 한번 상기시켜 드리고 싶네요.. 걸작이죠..,neutral,general-praise
"no one:
literally no one:
meanwhile yt: freezing views
Edit: thank u for the likes!! :""))
STREAM LOVESICK GIRLS <333",neutral,general-praise
"Bp: look at you, now look at me

Me: shook in spanish",neutral,visual-focused
Anyone else looking through the comments and thinking: ‘I wish I said that’,neutral,visual-focused
THEY ARE BACK!,neutral,general-praise
"Esto va muy lento, qué pasa Blinks?*suspiro*no pasa  nada sigamos reproduciendo",neutral,general-praise
"no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ”",neutral,general-praise
This new era is gonna be 🔥,neutral,general-praise
"the entire comments section:
""no one""
""literally no one""",neutral,general-praise
"me checking comments: 58s = 4.1k



me: quickly trying to comment as fast asf",neutral,general-praise
"No one 

Literally no one 


YouTube: “let’s freeze the v13ws!”",neutral,general-praise
I watched this song 100 times but still love it ❤❤❤❤❤❤❤❤❤❤❤❤❤,neutral,content-focused
WHY IS EVERYONE COMMENTING THE SAME THING I'M   L O S T,neutral,general-praise
Everyone literally everyone: No one..,neutral,general-praise
Why there’s so many comments like: “no one:  literally no one:   “ ????,neutral,general-praise
"Blackpink: Lets see how many vi3ws we could make in an hour.
Youtube: Hold my vi3w fr33zing !!",neutral,general-praise
"When jennie say: 
Bring out your boss bit*ch

Me: *heart attack*
Blinks: **DRAG ALL THE HATERS**",neutral,general-praise
i pray a random person who likes this will be a billionare,neutral,general-praise
BLACKPINK IN YOUR AREA will be forever iconic ❤,neutral,general-praise
jisoo: I'm Zuko,neutral,general-praise
BLARMYs: SCREAMING BECAUSE THEY CAN'T BREAK THEIR SCREENS IN HALF,neutral,general-praise
"Nobody:
Jennie:- bring out the pop bit-ch",neutral,general-praise
Who is watching this legend song in 2025,neutral,content-focused
why do people keep commenting the same thing? “Everyone: comments and gets a hundred of likes “,neutral,general-praise
"damn, all this “No one” comments are giving me anxiety.
Edit: ANYWAYS LET’S NOT STOP STRE-AMING BLINKS! AND PLEASE REPORT THESE COMMENTS GUYS! FOR Y’ALL HATERS. HOW ABOUT YOU FOCUS ON YOUR GROUPS? Stop pestering us! Report those mf cuz’ THEY FREEZE THE VIEWS. AND PLEASE NO EMOJIS! LET’S STRE@M PROPERLY. NO FASTFORWARD. LOVE Y’ALL",neutral,general-praise
"Nobody: 
Me and other people:
_comments before premiere_",neutral,general-praise
I will never get tired of listening to this,neutral,general-praise
"No one:
Literally no one:
me after watching it nonstop:
look at you now look at meeeeeee",neutral,visual-focused
"me: in a family gathering 
them: why are you crying??",touching,general-praise
"I bet LISA is the one who gonna say “BLACKPINK IN YOUR ARE” in this Song, mark my comment",neutral,content-focused
Slay blackpink y’all got me into K-pop now at school everyone refers to me as the K-POP OBSESSED GURL and I even taught most people including boys to listen and dance to K-pop lol 😅😅❤❤❤❤ LOVE U BLACKPINK 😘😘,neutral,content-focused
Blackpink is back everyone!,neutral,general-praise
"nobody:
me at 5 am at the top of my lungs: LOOK AT YOU NOW LOOK AT ME",neutral,visual-focused
me: *confused about lisa's hair*,neutral,visual-focused
But- Okay I’m dead adiós everyone. **^**,neutral,general-praise
"BP: look at you now look at me
Me: i felt offended",neutral,visual-focused
This hit is unforgettable 🔥,neutral,general-praise
"ROSÉ: * shows her little finger then wear a mask*

Me: HOLD UP, did she just- welp, ready to get robbed BLINKS",neutral,general-praise
"nobody:
blinks: *str3aming
yt: oh damn, lemme freeze the vi3w$",neutral,general-praise
"Jenlisa: look at you now look at me
Me ashamed: I know im ugly damn",neutral,visual-focused
It was too perfect,neutral,general-praise
when is this 'no one:' thing going from the comment section ? I am tired of seeing it in literally every video,neutral,general-praise
"every one: 
literally everyone: nO OnE litErAllY nO One",neutral,general-praise
"blinks: ""I hope youtube doesn't freeze vie-""
youtube: *evil cackle*",inspiring,general-praise
Miss this era of blackpink 😢,nostalgic,general-praise
"'Look up in the sky 
It's a bird it's a plane' no it's actually my wig flying",neutral,visual-focused
"I AM SO TIRED OF REPORTING THE ACCOUNTS WHO SAY, No One: Literally no one.
HATERS JUST GET OUT OF HERE.",neutral,general-praise
Eu so esperqva que nesse clipe a Jisoo falasse o começo onde a Lisa falou poxa YG nossa todas ja disseram isso menos a Jisoo,neutral,general-praise
This song is LEGENDARY.,neutral,content-focused
"""Look up in the sky it's a bird its a plane. """,neutral,visual-focused
"No one:

Me singing in front of my mirror : look at you now look at me~",neutral,visual-focused
"90% comments: no one, literally nobody 
10% comments: other",neutral,general-praise
"omggg, came back here after listening to Jump and HYLT literally gave me goosebumps 🥹",neutral,general-praise
"no one :
Literally no one:
Lisa : look at you look at me
me: i know im an ugly and fat potato dont attacc me",neutral,visual-focused
literally some blinks:  watches over and over on other devices.,neutral,general-praise
"no one: ha-
filipinos: hakdog
blackpink: how you like that?",neutral,general-praise
Hearing blackpink in your area again made me soooo nostalgic,neutral,content-focused
"*flashbacks to yt rewind 2020 comment section*

Also, what's happening?",neutral,general-praise
LA BELLEZA DE JENNIE NO ES UNA BROMA,neutral,general-praise
"No one:


Literally no one: 


Not even yg from his jail cell:


The comment section: Look at you now look at me",neutral,visual-focused
four girls are perfect pieces for each other,neutral,general-praise
Yg goal 50M views in 24 hours. Blinks no we want more. Blinks told haters that we are not biggest fandom but we are most powerful fandom 85 M views,neutral,general-praise
Y’all stop it with the “no one; literally no one” comments,neutral,general-praise
"Blackpink: ""How you like that""
Me literally seeing the comments section: what the hell man I don't like that.",neutral,general-praise
I will support blackpink forever,neutral,general-praise
"LISA 2019 : Here lm kicing the door
LISA 2020: HOW YOU LIKE THAT",neutral,general-praise
"""black pink in your area"" it's lisaaaaa",neutral,general-praise
"no one:
literally no one:
me at 5 am: *DDODOONGDDORUROO-*",neutral,general-praise
This is the best black pink song ever❤❤❤🔥🔥🔥,neutral,content-focused
"Me in comments: why tf everyone is like ""no one literally no one""
edit: Why tf everyone is saying same thing in comments tf
They got virus or wat it is annoying stop
Edit: why it says 6.1m views but when u tap it is 457k views",neutral,general-praise
"After seeing mv me- omg i cant breath after seeing this
My mom- wait u cant breath i am sure u got corona lemme take u to hospatail",neutral,general-praise
"Literally Everyone:
""Nobody :
Literally no one :
Someone: ...""",neutral,general-praise
It all started with this spoon and now I'm a blink🎉🎉🎉🎉🎉🎉🎉,neutral,general-praise
"My last brain cell at 2 pm


“Ha how you like that” :/",neutral,general-praise
"Me and my boyfriend after a breakup : 

“Look at you now look at me”",neutral,visual-focused
Dancers must be on overtime today in order to post dance cover early tomorrow,neutral,content-focused
this is the biggest comeback in history 🤯❤️‍🔥❤️‍🔥❤️‍🔥,neutral,content-focused
I have reported some of these ‘no one’ comments as ‘spam’ they serve no purpose or meaning! And annoying AF. Blink let’s report these spammers! YouTube might delete all of them at once!!,neutral,content-focused
"me in their yt live: ""the subtitle person better type FASTTT""

YG (blackpink): ""yea we're not doing that""",neutral,general-praise
We still have 2 hours we can get 100 if we try hard,neutral,general-praise
this was so iconic its insane,neutral,general-praise
"Nobody:
Youtube: lets freeze the views",neutral,general-praise
"no crean en lo que se dice en los comentarios, NO BORREN EL HISTORIAL",neutral,general-praise
"No one: 

Me: ""loOk aT yoU nOw lOok At mE""",neutral,visual-focused
Blackpink is the best kpop group,neutral,general-praise
"Guys the statue of genesha in Lisa rap 
Has been edited out at 1:20",neutral,general-praise
"no one:
literally no one:
me after watching: HA- HOW U LIKE DAAT",neutral,general-praise
"Me having a bad day:

Jennie: *look at you now look at me*
Me: ...",neutral,visual-focused
Queens❤,neutral,general-praise
"no one:
literally no one:
the comments: “no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ””",neutral,general-praise
"All these ppl:(comment same)
Me: BP run the game in high hillls!......BP in your area!
BP: du ddu du ddu(slaps talent 1:50)",neutral,general-praise
"Literally no one :

Ppl in the comment sec :

 ""no one: """,neutral,general-praise
Jamás me cansaré de esta obra de arte 😫🩷,neutral,general-praise
Jennie: Look at you now look at me.,neutral,visual-focused
"Blackpink: look at you now look at me.
Me: Died.",neutral,visual-focused
"Bp: How you like that?
Blinks: We loved that 
Thanks for coming back unnies",neutral,general-praise
BLACKPINK literally slayedddd My queensss 🖤💗,neutral,general-praise
i can't stand straightly. i want u guys to see everytime on the screen,neutral,general-praise
"2:45 : 
DumdumdumDuruRum DumdumdumDuruRum  DumdumdumDuruRum DumdumdumDuruRum DumdumdumDuruRum",neutral,general-praise
"""It's a bird it's a plane""

Us after *quarantine* .",neutral,general-praise
Blackpink is that diva ❤💋,neutral,general-praise
"Producers: So how many back up dancers do you want?

BP: yes",neutral,content-focused
"No one:

Literally no one:

The comments:
""No one"" ""Literally no one""",neutral,general-praise
can ppl stop saying “no one” “literally no one?”,neutral,general-praise
Who's happy that our queens are back,neutral,general-praise
"No one :
Absolutely no one:
Everyone in the comments: loOk aT mE LoOk aT yOU",neutral,visual-focused
NEW TARGET 85M. LEZGO BLINKS!! We still have 1hr and 15mins left. LEZGO!!!,neutral,general-praise
"friend: if you an artist and appear in this mv, who would you be?
me: probably the donkey",neutral,general-praise
Can't believe it's been 5 years to this ART,neutral,general-praise
"nobody:
not even my cats poop:
me: dancing and singing on the floor like a total idiot  
i lovcee you QUEEN
I ALREADY REMOVE THE EMOJI..",neutral,content-focused
"no one:
literally no one:
comments:
 nobody: 
not even:",neutral,general-praise
"pq les cuesta tanto hacer str34mn? NECESITAMOS LLEGAR AL BILLÓN, MUEVANSEEEEEEE",neutral,general-praise
this comeback save me from pandemic,neutral,general-praise
"Me: There she is .... my angelsé.
Rosé: who said I was an angel. 
She just killed me and that ski mask oh god",neutral,general-praise
Why are the comments like “no one:”,neutral,general-praise
"Nobody:
Not even me:
My mum : comes into my room while i listen to the song the first time and shows me a new pair of socks that she bought for me",neutral,content-focused
NOW WE ARE READY FOR JUMP 😍,neutral,general-praise
"Most of the comment:
“NOBODY”
“Literally No One”
“Delete emoji”",neutral,general-praise
"JENNIE: LOOK AT YOU NOW LOOK AT ME

Me:
The ghost beside me:
The spider at home:",neutral,visual-focused
"""Look up the sky, It's a bird, It's a plane""

Me being dumb who actually thought there's an airplane and a bird: *where?!*",neutral,visual-focused
love this masterpiece that's why i kept on coming back,neutral,general-praise
"BLACKPINK:. ""NOW LOOK AT YOU, NOW LOOK AT ME""
Me: * Checks myself in the mirror *",neutral,visual-focused
just a normal comment coming thru,neutral,general-praise
don’t look at the fact that there’s 1mil dislikes look at how there’s 19mil likes,neutral,visual-focused
"After 5 years, this song is still golden ❤",neutral,content-focused
ME STILL THINKING ABOUT WHY YG MV HAVE A TRIANGLE •_•,neutral,general-praise
"No one:
Literally no one:

YouTube: oh, lemme freeze this. Ha ha how you like that?",neutral,general-praise
"كمت ابجي بسبب فخامه الاغنيه احبكم يا كوينز الامه
I love you blackpink my queens
edit:thanks for 100 like 
تعديل:شكرا ؏ 100 لايك",neutral,general-praise
The song is crazy and Black Pink is crazy🖤💗😭,neutral,content-focused
"*If you're Filipino, you'll know all the memes circulating about Jennie's pose.* *lol*",neutral,general-praise
"me: nowadays I studied Korean a lot. I'll understand every single thing in this song

me: one two three? at 00:40",neutral,content-focused
"1:04 Lisa's silver front tooth looks coooool!!! 
Wow! Going 170M!! 
How y'all like that!",neutral,visual-focused
This brings back so many memories. My daughters love this song. They used to sing and dance to this song.,neutral,content-focused
"Blackpink be like: how you like that? 


Me: yes I really like that!!",neutral,general-praise
"Litterally Nobody :     

Me for the next 2 months: Look at you Now look at me",neutral,visual-focused
"""Look at you now look at me"" BP showing us our reality  potato heads RISE UP",neutral,visual-focused
"They look so different, then they're princesses, now they're queens",neutral,visual-focused
"2019 : KILL ME
2020 : How to make me die
2021 : Funeral",neutral,general-praise
"BLINKS HEADLINES!!!!
BLACKPINK WILL SOON HAVE A COMEBACK IN 2025!!!!
LETS SHAKE THE KPOP INDUSTRY ONCE AGAIN AND SUPPORT OUR GIRLS!!!",neutral,content-focused
"For the next 2 hours all the comments are gonna be: ""I'm early""",neutral,general-praise
Fabulous powerful legendry song it's my favorite song 😊😊😊💪,neutral,content-focused
2025년 사람 있나요?,neutral,general-praise
"Y'all Why does everyone have to comment like
""no one""
""Literally no one""
: /",neutral,general-praise
"When you’re seriously not bothered to comment in the live chat cuz no ones actually gonna read it:




U type it in the proper chat so u can get noticed",neutral,general-praise
Finally black pink is back to gather yay 🖤💖,neutral,general-praise
"No one:
Literally no one:
Everyone: gets hundreds of likes in seconds.

HOW YOU LIKE THAT",neutral,general-praise
"this is fokken aaawesome, but did ya listen to STAS CHEKIROV - PAGER ???",neutral,general-praise
"Me finding a comment that talks about their song

Reality : no one , no one literally noone no no no one.......",neutral,content-focused
