video_id,video_title,comment_id,comment_text,author_name,like_count,reply_count,published_at,updated_at,comment_length,is_reply,days_since_upload,video_view_count,video_like_count,video_comment_count,video_upload_date,video_description,parent_id,detected_language,comment_type,word_count,hour_of_day,day_of_week,quality_score,sentiment
,,UgxBGwEkekuroqbF1sp4AaABAg.9joerEZeKwW9johe8fs6gY,Literally how I feel,@meadowsweetstudios444,391,0,2022-12-19 10:53:27+00:00,,20,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxBGwEkekuroqbF1sp4AaABAg,en,general,4,10,Monday,40,neutral
,,UgxBGwEkekuroqbF1sp4AaABAg.9joerEZeKwW9jojde6H1f1,"I love this interpretation, relatable for many of us",@ksiezycowapapaja8120,424,0,2022-12-19 11:10:51+00:00,,52,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxBGwEkekuroqbF1sp4AaABAg,en,mv_analysis,9,11,Monday,70,positive
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgzyQUEl4BRTZVq9c7N4AaABAg,This MV made me cry. Sometimes you feel that alone in your life that you have to imagine your own comfort people. Every part of this song and this MV is so melancholic,@minnie1871,2809,4,2022-12-19 14:56:12+00:00,2022-12-19T14:56:12Z,167,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,mv_analysis,33,14,Monday,90,positive
pSUydWEqKwE,NewJeans 'Ditto' Side A,Ugw5EcPTzA_GGeH6Qip4AaABAg,"뉴진스는 이렇게 짧게 사라질 그룹이 아닌데
오래오래 성장해가는 모습을 보고 싶었는데 ㅠㅠㅠㅠ모두 다 잘 마무리되고 다시 나타나줬으면 좋겠다",@crb5130,210,2,2025-07-05 05:44:54+00:00,2025-07-05T05:44:54Z,77,False,40.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,ko,general,18,5,Saturday,70,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgxUTp0agqdqOQOiUAR4AaABAg,"This song really captures the older generation nostalgia, reminding a lot of viewers about their moments of youth. In the intro we see them riding bikes, playing cats cradle, and filming with older cameras instead of using newer phones. I think that makes this song so easy to watch and listen to. It's a really different but interesting change from hype boy and attention.",@katkits.,4206,11,2022-12-19 19:18:30+00:00,2022-12-19T19:18:30Z,373,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,emotional_response,64,19,Monday,100,positive
,,UgxUTp0agqdqOQOiUAR4AaABAg.9jpbSEmg6oO9jpx28c9vy-,YES!!!,@michae596,12,0,2022-12-19 22:27:10+00:00,,6,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxUTp0agqdqOQOiUAR4AaABAg,cy,general,1,22,Monday,30,neutral
,,UgxUTp0agqdqOQOiUAR4AaABAg.9jpbSEmg6oO9jq-csg5rLo,They were definitely aiming for us last time too. I hate that it works haha Love em,@beyondtheradio,15,0,2022-12-19 22:58:32+00:00,,83,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxUTp0agqdqOQOiUAR4AaABAg,en,fan_support,17,22,Monday,50,neutral
,,UgxUTp0agqdqOQOiUAR4AaABAg.9jpbSEmg6oO9jq0bawbodh,"Yes the vibe of this song, MV and girls beautiful voices are just so Perfect <3",@quemily,9,0,2022-12-19 23:07:06+00:00,,79,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgxUTp0agqdqOQOiUAR4AaABAg,en,mv_analysis,16,23,Monday,50,positive
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgyMrraZ4mDo2CczLT54AaABAg,they fit high schoolers so much bcos they are around that age. it's soo refreshing to see actual teens play high schoolers and new jeans doing a concept that fits their age,@coffeejelly3985,19115,98,2022-12-20 10:19:09+00:00,2022-12-20T10:19:09Z,172,False,967.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,mv_analysis,32,10,Tuesday,100,positive
,,UgyMrraZ4mDo2CczLT54AaABAg.9jrDWsdzG0c9ju47T1QWJB,"Coffeejelly,,theyarearoundthatage,it'ssoorefreshinvtoseeeactual",@กัลยาแย้มทัด-ฦ4ฬ,1,0,2022-12-21 12:54:46+00:00,,63,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgyMrraZ4mDo2CczLT54AaABAg,en,general,1,12,Wednesday,30,neutral
,,UgyMrraZ4mDo2CczLT54AaABAg.9jrDWsdzG0c9ju4DyHjj-l,Loveyou,@กัลยาแย้มทัด-ฦ4ฬ,35,0,2022-12-21 12:55:39+00:00,,7,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgyMrraZ4mDo2CczLT54AaABAg,en,fan_support,1,12,Wednesday,30,positive
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgzSeKruby4yDNMXek14AaABAg,their debut was the best thing to ever happen to kpop newjeans is a breath of fresh air,@luma1498,22357,116,2022-12-19 15:26:53+00:00,2022-12-19T15:26:53Z,87,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,fan_support,18,15,Monday,80,neutral
,,UgzSeKruby4yDNMXek14AaABAg.9jpBwsQuazQ9jpR1HCNfkY,Stray kids the only king of kpop,@straykids7572,41,0,2022-12-19 17:38:42+00:00,,32,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzSeKruby4yDNMXek14AaABAg,en,general,7,17,Monday,40,neutral
,,UgzSeKruby4yDNMXek14AaABAg.9jpBwsQuazQ9jpcVYOJE2w,@@straykids7572 Stays are the second blinks,@yoobeepedmeinthebeep,453,0,2022-12-19 19:27:41+00:00,,43,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzSeKruby4yDNMXek14AaABAg,en,general,6,19,Monday,50,neutral
,,UgzSeKruby4yDNMXek14AaABAg.9jpBwsQuazQ9jq7o0MUe-Q,@@straykids7572 you should probably rest a bit maybe go touch some grass or something like that away from the internet a little bit,@luma1498,314,0,2022-12-20 00:09:58+00:00,,131,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzSeKruby4yDNMXek14AaABAg,en,general,23,0,Tuesday,70,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,Ugwtw7dh_VO-mflOhyx4AaABAg,"진짜 ㄴ내가 처음으로 좋아해본 아이돌 
진짜 갑자기 나타나서 좋아하게 만들어
놓고선 갑자기 사라져버리는게 진짜 첫사랑같아 
너무 보고싶어 진심으로",@njz-323-27,118,2,2025-06-04 22:25:44+00:00,2025-06-04T22:26:00Z,81,False,70.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,ko,fan_support,18,22,Wednesday,70,positive
pSUydWEqKwE,NewJeans 'Ditto' Side A,Ugy5dEJG0b4Sp6T_jQ54AaABAg,"bro, the cinematography, the concept, the nostalgia, the beat, the lyrics, the core, EVERYTHING, these girls have a future

- with ""nostalgia"" i mean the vibes that the mv gives, I know that the song came out less than 24 hours ago i'm not stupid hehe

edit: omg thanks 4 the likes! :D",@angvical,10688,43,2022-12-19 18:00:40+00:00,2022-12-20T16:43:05Z,285,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,mv_analysis,53,18,Monday,100,positive
,,Ugy5dEJG0b4Sp6T_jQ54AaABAg.9jpTYC27Ldk9jppVMUMaul,no its kinda a boring song,@remyy111,10,0,2022-12-19 21:21:15+00:00,,26,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",Ugy5dEJG0b4Sp6T_jQ54AaABAg,tl,general,6,21,Monday,30,negative
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgzwWQ_DhoLSUTw2J954AaABAg,"This MV is depressing but somehow joyful at the same time. Like seriously, I can't find any word to describe the vibes",@Avital-Aviv,6324,26,2023-02-04 18:34:17+00:00,2023-02-13T05:04:01Z,118,False,921.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,mv_analysis,22,18,Saturday,100,neutral
,,UgzwWQ_DhoLSUTw2J954AaABAg.9liYkVisEzB9lltZQHBW8d,Bittersweet nostalgia I guess? Cos everyone will kinda look back at their school days,@Noelkim5202,317,0,2023-02-06 01:42:35+00:00,,85,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzwWQ_DhoLSUTw2J954AaABAg,en,emotional_response,14,1,Monday,70,melancholy_positive
,,UgzwWQ_DhoLSUTw2J954AaABAg.9liYkVisEzB9lnYOB136H6,for real like i want to cry but i can't stop watching,@carminiacouoh459,95,0,2023-02-06 17:07:18+00:00,,53,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzwWQ_DhoLSUTw2J954AaABAg,en,general,12,17,Monday,60,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,Ugwlr3IcmIG1vWx3H0p4AaABAg,It's ✨Ditto✨ season!!!!,@mitigateddisaster,4261,35,2024-11-25 20:18:19+00:00,2024-11-25T20:18:19Z,23,False,261.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,general,3,20,Monday,70,neutral
,,Ugwlr3IcmIG1vWx3H0p4AaABAg.ABHBIvLFQRaABTjWYVjHUE,yesss,@bunyeon2676,31,0,2024-11-30 17:16:54+00:00,,5,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",Ugwlr3IcmIG1vWx3H0p4AaABAg,fi,general,1,17,Saturday,30,neutral
,,Ugwlr3IcmIG1vWx3H0p4AaABAg.ABHBIvLFQRaABTyY17iR6J,@@bunyeon2676 Your profile pic is so cute 😍,@mitigateddisaster,8,0,2024-11-30 19:28:10+00:00,,43,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",Ugwlr3IcmIG1vWx3H0p4AaABAg,en,general,8,19,Saturday,30,neutral
,,Ugwlr3IcmIG1vWx3H0p4AaABAg.ABHBIvLFQRaABU-p7rRPPq,Yaaaszz,@alhaithamedits47595,3,0,2024-11-30 19:48:07+00:00,,7,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",Ugwlr3IcmIG1vWx3H0p4AaABAg,so,general,1,19,Saturday,10,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgyR9kBs1MDPbkR2KVd4AaABAg,今まで生きてきた中でこんなにハマった曲、グループはないです。最初で最後だと思います。この5人を一生応援することに変わりはないです。,@belt0818,45,0,2025-05-25 06:24:36+00:00,2025-05-25T06:24:36Z,65,False,80.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,ja,general,1,6,Sunday,50,neutral
pSUydWEqKwE,NewJeans 'Ditto' Side A,UgzE5WF3txhYm28DmsZ4AaABAg,No but I don't think k-pop has ever had a group as unique as New jeans. They aren't doing something out of the world but still manage to make people stan them by their great personalities and amazing music. We need more groups like them.,@shraddhatripathi2627,8779,104,2022-12-19 15:04:20+00:00,2022-12-19T15:04:20Z,237,False,968.0,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",,en,fan_support,45,15,Monday,90,positive
,,UgzE5WF3txhYm28DmsZ4AaABAg.9jp9Mja-O--9jpESbsXPbr,Their music is very fresh and still a bop . We need more concepts like them,@Zerin666,301,0,2022-12-19 15:48:50+00:00,,75,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzE5WF3txhYm28DmsZ4AaABAg,en,mv_analysis,16,15,Monday,70,positive
,,UgzE5WF3txhYm28DmsZ4AaABAg.9jp9Mja-O--9jpFJDEKYBM,and the fact a lot of non kpop listeners loves their songs really speaks volume!!,@trashkek9825,230,0,2022-12-19 15:56:17+00:00,,81,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzE5WF3txhYm28DmsZ4AaABAg,en,fan_support,15,15,Monday,60,positive
,,UgzE5WF3txhYm28DmsZ4AaABAg.9jp9Mja-O--9jpFzJbWAIt,Loona was very unique about the music too :'),@g.s9016,106,0,2022-12-19 16:02:10+00:00,,45,True,,56819710,1596189,41303,2022-12-19T09:00:03Z,"Producer: MIN HEE JIN
Music Video Director: Wooseok Shin (DOLPHINERS FILM)


ⓒ 2022 ADOR. All Rights Reserved.

Connect with NewJeans

PHONING https://phoning.onelink.me/KG15/n7452q87  
OFFICIAL YOUTU...",UgzE5WF3txhYm28DmsZ4AaABAg,en,general,9,16,Monday,50,neutral
